Class; Value; Class start; Class end;
186;0;-3829.567575978709;-3827.029514839573;
187;0;-3827.029514839573;-3824.491453700438;
188;0;-3824.491453700438;-3821.953392561303;
189;0;-3821.953392561303;-3819.415331422168;
190;0;-3819.415331422168;-3816.877270283032;
191;0;-3816.877270283032;-3814.339209143897;
192;0;-3814.339209143897;-3811.801148004762;
193;0;-3811.801148004761;-3809.263086865626;
194;0;-3809.263086865626;-3806.725025726491;
195;0;-3806.725025726490;-3804.186964587355;
196;0;-3804.186964587355;-3801.648903448220;
197;0;-3801.648903448220;-3799.110842309085;
198;0;-3799.110842309085;-3796.572781169949;
199;0;-3796.572781169949;-3794.034720030814;
200;0;-3794.034720030814;-3791.496658891679;
201;0;-3791.496658891679;-3788.958597752543;
202;0;-3788.958597752543;-3786.420536613408;
203;0;-3786.420536613408;-3783.882475474273;
204;0;-3783.882475474272;-3781.344414335137;
205;0;-3781.344414335137;-3778.806353196002;
206;0;-3778.806353196002;-3776.268292056866;
207;0;-3776.268292056866;-3773.730230917731;
208;0;-3773.730230917731;-3771.192169778596;
209;0;-3771.192169778596;-3768.654108639460;
210;0;-3768.654108639460;-3766.116047500325;
211;0;-3766.116047500325;-3763.577986361190;
212;0;-3763.577986361190;-3761.039925222055;
213;0;-3761.039925222054;-3758.501864082919;
214;0;-3758.501864082919;-3755.963802943784;
215;0;-3755.963802943783;-3753.425741804648;
216;0;-3753.425741804648;-3750.887680665513;
217;0;-3750.887680665513;-3748.349619526377;
218;0;-3748.349619526377;-3745.811558387242;
219;0;-3745.811558387242;-3743.273497248107;
220;0;-3743.273497248107;-3740.735436108971;
221;0;-3740.735436108971;-3738.197374969836;
222;0;-3738.197374969836;-3735.659313830701;
223;0;-3735.659313830701;-3733.121252691566;
224;0;-3733.121252691565;-3730.583191552430;
225;0;-3730.583191552430;-3728.045130413295;
226;0;-3728.045130413294;-3725.507069274159;
227;0;-3725.507069274159;-3722.969008135024;
228;0;-3722.969008135024;-3720.430946995888;
229;0;-3720.430946995888;-3717.892885856753;
230;0;-3717.892885856753;-3715.354824717618;
231;0;-3715.354824717618;-3712.816763578483;
232;0;-3712.816763578482;-3710.278702439347;
233;0;-3710.278702439347;-3707.740641300212;
234;0;-3707.740641300212;-3705.202580161077;
235;0;-3705.202580161076;-3702.664519021941;
236;0;-3702.664519021941;-3700.126457882806;
237;0;-3700.126457882805;-3697.588396743670;
238;0;-3697.588396743670;-3695.050335604535;
239;0;-3695.050335604535;-3692.512274465400;
240;0;-3692.512274465400;-3689.974213326264;
241;0;-3689.974213326264;-3687.436152187129;
242;0;-3687.436152187129;-3684.898091047994;
243;0;-3684.898091047993;-3682.360029908858;
244;0;-3682.360029908858;-3679.821968769723;
245;0;-3679.821968769723;-3677.283907630588;
246;0;-3677.283907630587;-3674.745846491452;
247;0;-3674.745846491452;-3672.207785352317;
248;0;-3672.207785352316;-3669.669724213181;
249;0;-3669.669724213181;-3667.131663074046;
250;0;-3667.131663074046;-3664.593601934911;
251;0;-3664.593601934911;-3662.055540795775;
252;0;-3662.055540795775;-3659.517479656640;
253;0;-3659.517479656640;-3656.979418517505;
254;0;-3656.979418517504;-3654.441357378369;
255;0;-3654.441357378369;-3651.903296239234;
256;0;-3651.903296239234;-3649.365235100099;
257;0;-3649.365235100098;-3646.827173960963;
258;0;-3646.827173960963;-3644.289112821828;
259;0;-3644.289112821828;-3641.751051682692;
260;0;-3641.751051682692;-3639.212990543557;
261;0;-3639.212990543557;-3636.674929404422;
262;0;-3636.674929404422;-3634.136868265286;
263;0;-3634.136868265286;-3631.598807126151;
264;0;-3631.598807126151;-3629.060745987016;
265;0;-3629.060745987016;-3626.522684847881;
266;0;-3626.522684847880;-3623.984623708745;
267;0;-3623.984623708745;-3621.446562569610;
268;0;-3621.446562569609;-3618.908501430474;
269;0;-3618.908501430474;-3616.370440291339;
270;0;-3616.370440291339;-3613.832379152203;
271;0;-3613.832379152203;-3611.294318013068;
272;0;-3611.294318013068;-3608.756256873933;
273;0;-3608.756256873933;-3606.218195734798;
274;0;-3606.218195734798;-3603.680134595662;
275;0;-3603.680134595662;-3601.142073456527;
276;0;-3601.142073456527;-3598.604012317392;
277;0;-3598.604012317391;-3596.065951178256;
278;0;-3596.065951178256;-3593.527890039121;
279;0;-3593.527890039120;-3590.989828899985;
280;0;-3590.989828899985;-3588.451767760850;
281;0;-3588.451767760850;-3585.913706621715;
282;0;-3585.913706621714;-3583.375645482579;
283;0;-3583.375645482579;-3580.837584343444;
284;0;-3580.837584343444;-3578.299523204309;
285;0;-3578.299523204309;-3575.761462065173;
286;0;-3575.761462065173;-3573.223400926038;
287;0;-3573.223400926038;-3570.685339786903;
288;0;-3570.685339786902;-3568.147278647767;
289;0;-3568.147278647767;-3565.609217508632;
290;0;-3565.609217508631;-3563.071156369496;
291;0;-3563.071156369496;-3560.533095230361;
292;0;-3560.533095230361;-3557.995034091226;
293;0;-3557.995034091226;-3555.456972952090;
294;0;-3555.456972952090;-3552.918911812955;
295;0;-3552.918911812955;-3550.380850673820;
296;0;-3550.380850673820;-3547.842789534684;
297;0;-3547.842789534684;-3545.304728395549;
298;0;-3545.304728395549;-3542.766667256414;
299;0;-3542.766667256413;-3540.228606117278;
300;0;-3540.228606117278;-3537.690544978143;
301;0;-3537.690544978142;-3535.152483839007;
302;0;-3535.152483839007;-3532.614422699872;
303;0;-3532.614422699872;-3530.076361560737;
304;0;-3530.076361560737;-3527.538300421601;
305;0;-3527.538300421601;-3525.000239282466;
306;0;-3525.000239282466;-3522.462178143331;
307;0;-3522.462178143331;-3519.924117004196;
308;0;-3519.924117004195;-3517.386055865060;
309;0;-3517.386055865060;-3514.847994725925;
310;0;-3514.847994725924;-3512.309933586789;
311;0;-3512.309933586789;-3509.771872447654;
312;0;-3509.771872447654;-3507.233811308518;
313;0;-3507.233811308518;-3504.695750169383;
314;0;-3504.695750169383;-3502.157689030248;
315;0;-3502.157689030248;-3499.619627891112;
316;0;-3499.619627891112;-3497.081566751977;
317;0;-3497.081566751977;-3494.543505612842;
318;0;-3494.543505612842;-3492.005444473707;
319;0;-3492.005444473706;-3489.467383334571;
320;0;-3489.467383334571;-3486.929322195436;
321;0;-3486.929322195435;-3484.391261056300;
322;0;-3484.391261056300;-3481.853199917165;
323;0;-3481.853199917165;-3479.315138778029;
324;0;-3479.315138778029;-3476.777077638894;
325;0;-3476.777077638894;-3474.239016499759;
326;0;-3474.239016499759;-3471.700955360624;
327;0;-3471.700955360623;-3469.162894221488;
328;0;-3469.162894221488;-3466.624833082353;
329;0;-3466.624833082353;-3464.086771943218;
330;0;-3464.086771943217;-3461.548710804082;
331;0;-3461.548710804082;-3459.010649664947;
332;0;-3459.010649664946;-3456.472588525811;
333;0;-3456.472588525811;-3453.934527386676;
334;0;-3453.934527386676;-3451.396466247541;
335;0;-3451.396466247541;-3448.858405108405;
336;0;-3448.858405108405;-3446.320343969270;
337;0;-3446.320343969270;-3443.782282830135;
338;0;-3443.782282830135;-3441.244221690999;
339;0;-3441.244221690999;-3438.706160551864;
340;0;-3438.706160551864;-3436.168099412729;
341;0;-3436.168099412728;-3433.630038273593;
342;0;-3433.630038273593;-3431.091977134458;
343;0;-3431.091977134457;-3428.553915995322;
344;0;-3428.553915995322;-3426.015854856187;
345;0;-3426.015854856187;-3423.477793717052;
346;0;-3423.477793717052;-3420.939732577916;
347;0;-3420.939732577916;-3418.401671438781;
348;0;-3418.401671438781;-3415.863610299646;
349;0;-3415.863610299646;-3413.325549160510;
350;0;-3413.325549160510;-3410.787488021375;
351;0;-3410.787488021375;-3408.249426882240;
352;0;-3408.249426882239;-3405.711365743104;
353;0;-3405.711365743104;-3403.173304603969;
354;0;-3403.173304603969;-3400.635243464834;
355;0;-3400.635243464833;-3398.097182325698;
356;0;-3398.097182325698;-3395.559121186563;
357;0;-3395.559121186563;-3393.021060047427;
358;0;-3393.021060047427;-3390.482998908292;
359;0;-3390.482998908292;-3387.944937769157;
360;0;-3387.944937769157;-3385.406876630022;
361;0;-3385.406876630021;-3382.868815490886;
362;0;-3382.868815490886;-3380.330754351751;
363;0;-3380.330754351750;-3377.792693212615;
364;0;-3377.792693212615;-3375.254632073480;
365;0;-3375.254632073480;-3372.716570934345;
366;0;-3372.716570934344;-3370.178509795209;
367;0;-3370.178509795209;-3367.640448656074;
368;0;-3367.640448656074;-3365.102387516939;
369;0;-3365.102387516939;-3362.564326377803;
370;0;-3362.564326377803;-3360.026265238668;
371;0;-3360.026265238668;-3357.488204099533;
372;0;-3357.488204099532;-3354.950142960397;
373;0;-3354.950142960397;-3352.412081821262;
374;0;-3352.412081821261;-3349.874020682126;
375;0;-3349.874020682126;-3347.335959542991;
376;0;-3347.335959542991;-3344.797898403856;
377;0;-3344.797898403855;-3342.259837264720;
378;0;-3342.259837264720;-3339.721776125585;
379;0;-3339.721776125585;-3337.183714986450;
380;0;-3337.183714986450;-3334.645653847314;
381;0;-3334.645653847314;-3332.107592708179;
382;0;-3332.107592708179;-3329.569531569044;
383;0;-3329.569531569043;-3327.031470429908;
384;0;-3327.031470429908;-3324.493409290773;
385;0;-3324.493409290772;-3321.955348151637;
386;0;-3321.955348151637;-3319.417287012502;
387;0;-3319.417287012502;-3316.879225873367;
388;0;-3316.879225873367;-3314.341164734231;
389;0;-3314.341164734231;-3311.803103595096;
390;0;-3311.803103595096;-3309.265042455961;
391;0;-3309.265042455961;-3306.726981316825;
392;0;-3306.726981316825;-3304.188920177690;
393;0;-3304.188920177690;-3301.650859038555;
394;0;-3301.650859038554;-3299.112797899419;
395;0;-3299.112797899419;-3296.574736760284;
396;0;-3296.574736760283;-3294.036675621148;
397;0;-3294.036675621148;-3291.498614482013;
398;0;-3291.498614482013;-3288.960553342878;
399;0;-3288.960553342878;-3286.422492203742;
400;0;-3286.422492203742;-3283.884431064607;
401;0;-3283.884431064607;-3281.346369925472;
402;0;-3281.346369925472;-3278.808308786337;
403;0;-3278.808308786336;-3276.270247647201;
404;0;-3276.270247647201;-3273.732186508066;
405;0;-3273.732186508066;-3271.194125368931;
406;0;-3271.194125368930;-3268.656064229795;
407;0;-3268.656064229795;-3266.118003090659;
408;0;-3266.118003090659;-3263.579941951524;
409;0;-3263.579941951524;-3261.041880812389;
410;0;-3261.041880812389;-3258.503819673253;
411;0;-3258.503819673253;-3255.965758534118;
412;0;-3255.965758534118;-3253.427697394983;
413;0;-3253.427697394983;-3250.889636255848;
414;0;-3250.889636255847;-3248.351575116712;
415;0;-3248.351575116712;-3245.813513977577;
416;0;-3245.813513977577;-3243.275452838442;
417;0;-3243.275452838441;-3240.737391699306;
418;0;-3240.737391699306;-3238.199330560170;
419;0;-3238.199330560170;-3235.661269421035;
420;0;-3235.661269421035;-3233.123208281900;
421;0;-3233.123208281900;-3230.585147142765;
422;0;-3230.585147142764;-3228.047086003629;
423;0;-3228.047086003629;-3225.509024864494;
424;0;-3225.509024864494;-3222.970963725359;
425;0;-3222.970963725358;-3220.432902586223;
426;0;-3220.432902586223;-3217.894841447088;
427;0;-3217.894841447088;-3215.356780307953;
428;0;-3215.356780307952;-3212.818719168817;
429;0;-3212.818719168817;-3210.280658029681;
430;0;-3210.280658029681;-3207.742596890546;
431;0;-3207.742596890546;-3205.204535751411;
432;0;-3205.204535751411;-3202.666474612276;
433;0;-3202.666474612275;-3200.128413473140;
434;0;-3200.128413473140;-3197.590352334005;
435;0;-3197.590352334005;-3195.052291194870;
436;0;-3195.052291194869;-3192.514230055734;
437;0;-3192.514230055734;-3189.976168916599;
438;0;-3189.976168916599;-3187.438107777464;
439;0;-3187.438107777463;-3184.900046638328;
440;0;-3184.900046638328;-3182.361985499193;
441;0;-3182.361985499193;-3179.823924360057;
442;0;-3179.823924360057;-3177.285863220922;
443;0;-3177.285863220922;-3174.747802081787;
444;0;-3174.747802081786;-3172.209740942651;
445;0;-3172.209740942651;-3169.671679803516;
446;0;-3169.671679803516;-3167.133618664381;
447;0;-3167.133618664380;-3164.595557525245;
448;0;-3164.595557525245;-3162.057496386110;
449;0;-3162.057496386110;-3159.519435246975;
450;0;-3159.519435246974;-3156.981374107839;
451;0;-3156.981374107839;-3154.443312968704;
452;0;-3154.443312968704;-3151.905251829568;
453;0;-3151.905251829568;-3149.367190690433;
454;0;-3149.367190690433;-3146.829129551298;
455;0;-3146.829129551297;-3144.291068412162;
456;0;-3144.291068412163;-3141.753007273027;
457;0;-3141.753007273027;-3139.214946133892;
458;0;-3139.214946133891;-3136.676884994756;
459;0;-3136.676884994756;-3134.138823855621;
460;0;-3134.138823855621;-3131.600762716486;
461;0;-3131.600762716485;-3129.062701577350;
462;0;-3129.062701577350;-3126.524640438215;
463;0;-3126.524640438215;-3123.986579299079;
464;0;-3123.986579299079;-3121.448518159944;
465;0;-3121.448518159944;-3118.910457020809;
466;0;-3118.910457020809;-3116.372395881674;
467;0;-3116.372395881674;-3113.834334742538;
468;0;-3113.834334742538;-3111.296273603403;
469;0;-3111.296273603402;-3108.758212464267;
470;0;-3108.758212464267;-3106.220151325132;
471;0;-3106.220151325132;-3103.682090185997;
472;0;-3103.682090185996;-3101.144029046861;
473;0;-3101.144029046861;-3098.605967907726;
474;0;-3098.605967907726;-3096.067906768591;
475;0;-3096.067906768591;-3093.529845629455;
476;0;-3093.529845629455;-3090.991784490320;
477;0;-3090.991784490320;-3088.453723351185;
478;0;-3088.453723351185;-3085.915662212049;
479;0;-3085.915662212049;-3083.377601072914;
480;0;-3083.377601072913;-3080.839539933778;
481;0;-3080.839539933778;-3078.301478794643;
482;0;-3078.301478794643;-3075.763417655508;
483;0;-3075.763417655508;-3073.225356516372;
484;0;-3073.225356516372;-3070.687295377237;
485;0;-3070.687295377237;-3068.149234238102;
486;0;-3068.149234238102;-3065.611173098966;
487;0;-3065.611173098966;-3063.073111959831;
488;0;-3063.073111959831;-3060.535050820696;
489;0;-3060.535050820696;-3057.996989681561;
490;0;-3057.996989681560;-3055.458928542425;
491;0;-3055.458928542424;-3052.920867403289;
492;0;-3052.920867403289;-3050.382806264154;
493;0;-3050.382806264154;-3047.844745125019;
494;0;-3047.844745125019;-3045.306683985883;
495;0;-3045.306683985883;-3042.768622846748;
496;0;-3042.768622846748;-3040.230561707613;
497;0;-3040.230561707613;-3037.692500568477;
498;0;-3037.692500568477;-3035.154439429342;
499;0;-3035.154439429342;-3032.616378290207;
500;0;-3032.616378290207;-3030.078317151072;
501;0;-3030.078317151071;-3027.540256011936;
502;0;-3027.540256011936;-3025.002194872800;
503;0;-3025.002194872800;-3022.464133733665;
504;0;-3022.464133733665;-3019.926072594530;
505;0;-3019.926072594530;-3017.388011455394;
506;0;-3017.388011455394;-3014.849950316259;
507;0;-3014.849950316259;-3012.311889177124;
508;0;-3012.311889177124;-3009.773828037989;
509;0;-3009.773828037988;-3007.235766898853;
510;0;-3007.235766898853;-3004.697705759718;
511;0;-3004.697705759718;-3002.159644620583;
512;0;-3002.159644620582;-2999.621583481447;
513;0;-2999.621583481447;-2997.083522342311;
514;0;-2997.083522342311;-2994.545461203176;
515;0;-2994.545461203176;-2992.007400064041;
516;0;-2992.007400064041;-2989.469338924906;
517;0;-2989.469338924905;-2986.931277785770;
518;0;-2986.931277785770;-2984.393216646635;
519;0;-2984.393216646635;-2981.855155507500;
520;0;-2981.855155507499;-2979.317094368364;
521;0;-2979.317094368364;-2976.779033229229;
522;0;-2976.779033229229;-2974.240972090094;
523;0;-2974.240972090093;-2971.702910950958;
524;0;-2971.702910950958;-2969.164849811822;
525;0;-2969.164849811822;-2966.626788672687;
526;0;-2966.626788672687;-2964.088727533552;
527;0;-2964.088727533552;-2961.550666394417;
528;0;-2961.550666394416;-2959.012605255281;
529;0;-2959.012605255281;-2956.474544116146;
530;0;-2956.474544116146;-2953.936482977011;
531;0;-2953.936482977010;-2951.398421837875;
532;0;-2951.398421837875;-2948.860360698740;
533;0;-2948.860360698740;-2946.322299559605;
534;0;-2946.322299559604;-2943.784238420469;
535;0;-2943.784238420469;-2941.246177281334;
536;0;-2941.246177281334;-2938.708116142198;
537;0;-2938.708116142198;-2936.170055003063;
538;0;-2936.170055003063;-2933.631993863928;
539;0;-2933.631993863927;-2931.093932724792;
540;0;-2931.093932724792;-2928.555871585657;
541;0;-2928.555871585657;-2926.017810446522;
542;0;-2926.017810446521;-2923.479749307386;
543;0;-2923.479749307386;-2920.941688168251;
544;0;-2920.941688168251;-2918.403627029116;
545;0;-2918.403627029115;-2915.865565889980;
546;0;-2915.865565889980;-2913.327504750845;
547;0;-2913.327504750845;-2910.789443611709;
548;0;-2910.789443611709;-2908.251382472574;
549;0;-2908.251382472574;-2905.713321333439;
550;0;-2905.713321333439;-2903.175260194304;
551;0;-2903.175260194304;-2900.637199055168;
552;0;-2900.637199055168;-2898.099137916033;
553;0;-2898.099137916032;-2895.561076776897;
554;0;-2895.561076776897;-2893.023015637762;
555;0;-2893.023015637762;-2890.484954498627;
556;0;-2890.484954498626;-2887.946893359491;
557;0;-2887.946893359491;-2885.408832220356;
558;0;-2885.408832220356;-2882.870771081220;
559;0;-2882.870771081220;-2880.332709942085;
560;0;-2880.332709942085;-2877.794648802950;
561;0;-2877.794648802950;-2875.256587663815;
562;0;-2875.256587663815;-2872.718526524679;
563;0;-2872.718526524679;-2870.180465385544;
564;0;-2870.180465385543;-2867.642404246408;
565;0;-2867.642404246408;-2865.104343107273;
566;0;-2865.104343107273;-2862.566281968138;
567;0;-2862.566281968137;-2860.028220829002;
568;0;-2860.028220829002;-2857.490159689867;
569;0;-2857.490159689867;-2854.952098550732;
570;0;-2854.952098550732;-2852.414037411596;
571;0;-2852.414037411596;-2849.875976272461;
572;0;-2849.875976272461;-2847.337915133326;
573;0;-2847.337915133326;-2844.799853994190;
574;0;-2844.799853994190;-2842.261792855055;
575;0;-2842.261792855054;-2839.723731715919;
576;0;-2839.723731715919;-2837.185670576784;
577;0;-2837.185670576784;-2834.647609437649;
578;0;-2834.647609437648;-2832.109548298513;
579;0;-2832.109548298513;-2829.571487159378;
580;0;-2829.571487159378;-2827.033426020243;
581;0;-2827.033426020243;-2824.495364881107;
582;0;-2824.495364881107;-2821.957303741972;
583;0;-2821.957303741972;-2819.419242602837;
584;0;-2819.419242602837;-2816.881181463702;
585;0;-2816.881181463701;-2814.343120324566;
586;0;-2814.343120324565;-2811.805059185430;
587;0;-2811.805059185430;-2809.266998046295;
588;0;-2809.266998046295;-2806.728936907160;
589;0;-2806.728936907160;-2804.190875768024;
590;0;-2804.190875768024;-2801.652814628889;
591;0;-2801.652814628889;-2799.114753489754;
592;0;-2799.114753489754;-2796.576692350618;
593;0;-2796.576692350618;-2794.038631211483;
594;0;-2794.038631211483;-2791.500570072348;
595;0;-2791.500570072348;-2788.962508933213;
596;0;-2788.962508933212;-2786.424447794077;
597;0;-2786.424447794077;-2783.886386654941;
598;0;-2783.886386654941;-2781.348325515806;
599;0;-2781.348325515806;-2778.810264376671;
600;0;-2778.810264376671;-2776.272203237535;
601;0;-2776.272203237535;-2773.734142098400;
602;0;-2773.734142098400;-2771.196080959265;
603;0;-2771.196080959265;-2768.658019820130;
604;0;-2768.658019820129;-2766.119958680994;
605;0;-2766.119958680994;-2763.581897541859;
606;0;-2763.581897541859;-2761.043836402724;
